,date,open,high,low,close,adj close,volume,close_delta,rolling_std,daily_k_stds,event_flag,return,net_return
315,2015-06-19,6.81,7.0,6.58,6.89,6.89,36200,-0.0028943560057888007,0.04045779758678144,-0.0715401276992512,0,0.0,-0.0
316,2015-06-22,6.92,6.948,6.61,6.86,6.86,7600,-0.004354136429608024,0.041341541174168196,-0.10532109606810348,0,0.0,-0.0
317,2015-06-23,6.89,6.94,6.61,6.77,6.77,35300,-0.013119533527696903,0.04059758748889365,-0.32316042255678457,0,0.0,-0.0
318,2015-06-24,6.8,6.81,6.52,6.61,6.61,18700,-0.023633677991137247,0.036728386555507,-0.6434717178610626,0,0.0,-0.0
319,2015-06-25,6.63,6.71,6.59,6.65,6.65,5200,0.00605143721633894,0.02898376331754267,0.20878714575606047,0,0.0,-0.0
320,2015-06-26,6.67,6.784,6.66,6.75,6.75,26900,0.015037593984962294,0.028906187754069352,0.5202205878167152,0,0.0,-0.0
321,2015-06-29,6.73,6.9,6.66,6.85,6.85,43800,0.014814814814814836,0.025083700325971413,0.5906152051846881,0,0.0,-0.0
322,2015-06-30,6.85,7.24,6.85,7.07,7.07,149100,0.03211678832116793,0.02321481077752955,1.383461128714214,0,0.0,-0.0
323,2015-07-01,7.22,7.248,6.75,7.01,7.01,81100,-0.008486562942008558,0.019544618782700564,-0.43421481055032035,0,0.0,-0.0
324,2015-07-02,7.116,7.116,7.0,7.0,7.0,7500,-0.0014265335235377208,0.01607580633825066,-0.0887379141998891,0,0.0,-0.0
325,2015-07-06,7.0,7.14,6.97,7.0,7.0,44200,0.0,0.01601562937135067,0.0,0,0.0,-0.0
326,2015-07-07,7.0,7.01,6.9,7.0,7.0,17600,0.0,0.015891454285386544,0.0,0,0.0,-0.0
327,2015-07-08,6.97,7.21,6.97,7.0,7.0,15000,0.0,0.015009177702134686,0.0,0,0.0,-0.0
328,2015-07-09,7.0,7.135,6.84,6.84,6.84,18500,-0.02285714285714291,0.014854713612145016,-1.5387131286365032,0,0.0,-0.0
329,2015-07-10,7.0,7.0,6.863,6.87,6.87,9200,0.004385964912280826,0.014832560938089736,0.29569842528121704,0,0.0,-0.0
330,2015-07-13,6.8,6.95,6.62,6.9,6.9,27200,0.004366812227074357,0.014272243885702487,0.3059653591996771,0,0.0,-0.0
331,2015-07-14,6.72,7.16,6.72,7.15,7.15,18400,0.03623188405797095,0.017583209667833884,2.060595576258885,0,0.0,-0.0
332,2015-07-15,7.14,7.74,6.86,7.01,7.01,81200,-0.019580419580419672,0.016074575945358698,-1.218098670035102,0,0.0,-0.0
333,2015-07-16,6.99,7.077,6.63,7.0,7.0,40100,-0.0014265335235377208,0.015849842636070977,-0.0900030086286929,0,0.0,-0.0
334,2015-07-17,7.06,7.48,6.62,6.91,6.91,24900,-0.01285714285714279,0.016365489995323234,-0.7856252920515655,0,0.0,-0.0
335,2015-07-20,6.97,7.04,6.56,6.75,6.75,29000,-0.02315484804630974,0.017759641888428254,-1.3037902561197965,0,0.0,-0.0
336,2015-07-21,6.71,6.88,6.55,6.72,6.72,15600,-0.004444444444444473,0.01771818619144254,-0.2508408251512242,0,0.0,-0.0
337,2015-07-22,6.64,6.86,6.34,6.76,6.76,36800,0.005952380952380931,0.017963306021916748,0.33136333284744607,0,0.0,-0.0
338,2015-07-23,6.56,6.845,6.54,6.75,6.75,55300,-0.0014792899408283544,0.016602860506402205,-0.08909849843392514,0,0.0,-0.0
339,2015-07-24,6.72,6.795,6.29,6.35,6.35,9200,-0.059259259259259345,0.024529859751182204,-2.4158009813490016,1,107.24409448818898,7.244094488188978
340,2015-07-27,6.8,6.9,6.5,6.81,6.81,14400,0.07244094488188968,0.03529339284855148,2.05253558910426,0,0.0,-0.0
341,2015-07-28,6.79,6.91,6.3,6.76,6.76,11700,-0.007342143906020504,0.03282253724847898,-0.22369214940446885,0,0.0,-0.0
